ano;id_municipio;id_municipio_nome;sigla_uf;sigla_uf_nome;populacao_atentida_esgoto;populacao_urbana;extensao_rede_esgoto;quantidade_localidade_esgoto;quantidade_economia_ativa_esgoto;volume_agua_tratada_importado;volume_esgoto_coletado;volume_esgoto_tratado;volume_esgoto_faturado;receita_operacional_direta_esgoto;despesa_servico_terceiro;despesa_servico_outro;despesas_juros_divida_excecao;investimento_recurso_proprio_prestador;investimento_recurso_nao_oneroso_prestador;investimento_recurso_nao_oneroso_estado;investimento_total_estado;natureza_juridica
2003;1200344;Manoel Urbano;AC;Acre;;3554;;;;0.0;;;;;21160.29;0.0;0.0;0.0;657525.56;;;Autarquia | Administração pública direta
2005;1300607;Benjamin Constant;AM;Amazonas;;15985;;;;0.0;;;;;75007.94;0.0;0.0;280646.06;0.0;;;Sociedade de economia mista com administração pública | Administração pública direta
2022;1301407;EirunepÃ©;AM;Amazonas;;;;;;0.0;;;;;300118.12;0.0;0.0;436058.86;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2022;1304401;Urucurituba;AM;Amazonas;;;;;;0.0;;;;;0.0;10000.0;0.0;;;0.0;0.0;
2019;1300805;Borba;AM;Amazonas;;16994;;;;0.0;;;;;0.0;0.0;0.0;;;0.0;0.0;Administração pública direta | Administração pública direta
2012;1300201;Atalaia do Norte;AM;Amazonas;;7244;;;;0.0;;;;;0.0;179999.34;0.0;;;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2013;1300631;Beruri;AM;Amazonas;;8705;;;;0.0;;;;;39000.0;3600.0;0.0;;;;;Administração pública direta | Administração pública direta
2016;1302207;JuruÃ¡;AM;Amazonas;;7149;;;;0.0;;;;;82587.48;0.0;0.0;30259.73;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2012;1302207;JuruÃ¡;AM;Amazonas;;6021;;;;0.0;;;;;61684.6;;0.0;850.0;19903.38;;;Sociedade de economia mista com administração pública | Administração pública direta
2010;1200302;FeijÃ³;AC;Acre;;16636;;;;0.0;;;;;115175.66;0.0;0.0;46078.71;227276.27;;;Autarquia | Administração pública direta
2009;1301001;Carauari;AM;Amazonas;;19193;;;;0.0;;;;;;0.0;0.0;42034.0;0.0;;;Sociedade de economia mista com administração pública
2007;1301308;CodajÃ¡s;AM;Amazonas;;11556;;;;0.0;;;;;67891.77;0.0;0.0;16660.57;0.0;;;Sociedade de economia mista com administração pública | Administração pública direta
2003;1200138;Bujari;AC;Acre;;1856;;;;0.0;;;;;16419.93;0.0;0.0;0.0;0.0;;;Autarquia | Administração pública direta
2006;1200336;MÃ¢ncio Lima;AC;Acre;;6849;;;;0.0;;;;;37394.22;0.0;0.0;44859.0;42782.98;;;Autarquia | Administração pública direta | Administração pública direta
2004;1200344;Manoel Urbano;AC;Acre;;3681;;;;0.0;;;;;21061.98;0.0;0.0;0.0;116771.12;;;Autarquia | Administração pública direta
2006;1200427;Rodrigues Alves;AC;Acre;;3249;;;;0.0;;;;;0.0;0.0;0.0;43000.0;0.0;;;Autarquia | Administração pública direta
2005;1300300;Autazes;AM;Amazonas;;11978;;;;0.0;;;;;13201.4;0.0;0.0;97775.7;0.0;;;Sociedade de economia mista com administração pública | Administração pública direta
2001;1200500;Sena Madureira;AC;Acre;;16502;;;;0.0;;;;;123831.68;0.0;;0.0;0.0;;;Autarquia | Administração pública direta
2020;1301951;Itamarati;AM;Amazonas;;4347;;;;0.0;;;;;53594.81;81035.34;0.0;12692.36;0.0;0.0;0.0;Sociedade de economia mista com administração pública | Administração pública direta
2020;1303601;Santa Isabel do Rio Negro;AM;Amazonas;;9772;;;;0.0;;;;;0.0;0.0;0.0;;;0.0;0.0;
2014;1300805;Borba;AM;Amazonas;;15973;;;;0.0;;;;;0.0;0.0;0.0;;;0.0;0.0;Administração pública direta | Administração pública direta
2007;1200609;TarauacÃ¡;AC;Acre;;16608;;;;0.0;;;;;49476.25;0.0;0.0;13958.75;39458.9;;;Autarquia | Administração pública direta
2010;1300508;Barreirinha;AM;Amazonas;;12418;;;;0.0;;;;;5640.0;0.0;0.0;;;;;Administração pública direta | Administração pública direta
2006;1200054;Assis Brasil;AC;Acre;;3176;;;;0.0;;;;;0.0;0.0;0.0;11510.41;144354.06;;;Autarquia | Administração pública direta
2003;1300060;AmaturÃ¡;AM;Amazonas;;4356;;;;0.0;;;;;8040.0;;;;;;;Administração pública direta
2005;1301308;CodajÃ¡s;AM;Amazonas;;12869;;;;0.0;;;;;26436.2;0.0;0.0;255690.07;0.0;;;Sociedade de economia mista com administração pública | Administração pública direta
2012;1300060;AmaturÃ¡;AM;Amazonas;;5131;;;;0.0;;;;;980.0;0.0;0.0;0.0;0.0;0.0;0.0;Administração pública direta
2013;1302553;Manaquiri;AM;Amazonas;;8217;;;;0.0;;;;;127135.03;0.0;0.0;36620.77;0.0;0.0;0.0;
2009;1200054;Assis Brasil;AC;Acre;;3128;;;;0.0;;;;;8911.15;0.0;0.0;16461.07;533.2;;;Autarquia | Administração pública direta
